Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Header.stamp.secs,Offset_UTM_easting,Offset_UTM_northing
1663962189.377,0,70989,0,GPS1_Frame,42.33433,-71.08943,17.6,327863.508945862,4689011.84766183,19,T,1082,863.508945861715,511.847661824897
1663962190.34247,0,70990,0,GPS1_Frame,42.334325,-71.0894183333333,17.7,327864.456496225,4689011.26883359,19,T,1083,864.456496224564,511.26883358974
1663962191.34207,0,70991,0,GPS1_Frame,42.3343183333333,-71.089405,18,327865.536812736,4689010.50156117,19,T,1084,865.536812736304,510.50156116765
1663962192.4096,0,70992,0,GPS1_Frame,42.334315,-71.0893916666667,18,327866.626223736,4689010.10443003,19,T,1085,866.626223736035,510.104430028237
1663962193.33898,0,70993,0,GPS1_Frame,42.3343116666667,-71.0893783333333,18.1,327867.715634854,4689009.70729906,19,T,1086,867.715634853754,509.707299062982
1663962194.34175,0,70994,0,GPS1_Frame,42.3343083333333,-71.089365,18.1,327868.805046085,4689009.31016827,19,T,1087,868.805046085327,509.310168270953
1663962195.34162,0,70995,0,GPS1_Frame,42.3343016666667,-71.0893566666667,18.3,327869.473423777,4689008.55301759,19,T,1088,869.473423776566,508.553017589264
1663962196.33901,0,70996,0,GPS1_Frame,42.3342966666667,-71.08935,18.5,327870.009035443,4689007.9843112,19,T,1089,870.009035443422,507.984311203472
1663962197.37746,0,70997,0,GPS1_Frame,42.33429,-71.0893433333333,18.9,327870.540100179,4689007.23053431,19,T,1090,870.540100178565,507.230534309521
1663962198.34756,0,70998,0,GPS1_Frame,42.334285,-71.089335,19.3,327871.213025263,4689006.65845436,19,T,1091,871.213025262929,506.65845436044
1663962199.34162,0,70999,0,GPS1_Frame,42.3342816666667,-71.0893266666667,19.6,327871.890497444,4689006.27144503,19,T,1092,871.890497443965,506.271445033141
1663962200.34292,0,71000,0,GPS1_Frame,42.3342766666667,-71.0893166666667,20.2,327872.700735978,4689005.6959916,19,T,1093,872.700735977734,505.695991597138
1663962201.34387,0,71001,0,GPS1_Frame,42.334275,-71.0893016666667,20.4,327873.932008271,4689005.48055856,19,T,1094,873.932008270873,505.480558563024
1663962202.3446,0,71002,0,GPS1_Frame,42.3342733333333,-71.0892866666667,20.6,327875.163280631,4689005.26512575,19,T,1095,875.163280630601,505.265125749633
1663962203.34324,0,71003,0,GPS1_Frame,42.33427,-71.0892766666667,20.6,327875.97806641,4689004.87474326,19,T,1096,875.978066409589,504.874743257649
1663962204.37617,0,71004,0,GPS1_Frame,42.3342633333333,-71.0892716666667,20.8,327876.371818746,4689004.12434039,19,T,1097,876.371818746265,504.124340391718
1663962205.34016,0,71005,0,GPS1_Frame,42.3342566666667,-71.089275,20.6,327876.079004721,4689003.39080528,19,T,1098,876.079004721483,503.390805283561
1663962206.37821,0,71006,0,GPS1_Frame,42.3342466666667,-71.0892816666667,20.5,327875.50247027,4689002.2938762,19,T,1099,875.502470269566,502.29387620464
1663962207.34184,0,71007,0,GPS1_Frame,42.3342383333333,-71.0892866666667,20.4,327875.067795871,4689001.37864415,19,T,1100,875.067795871058,501.378644148819
1663962208.34516,0,71008,0,GPS1_Frame,42.3342316666667,-71.089285,20.5,327875.186921649,4689000.63498837,19,T,1101,875.18692164903,500.634988372214
1663962209.34364,0,71009,0,GPS1_Frame,42.3342266666667,-71.08928,20.8,327875.585221056,4689000.06965602,19,T,1102,875.585221055546,500.069656020962
1663962210.34683,0,71010,0,GPS1_Frame,42.33422,-71.0892716666667,20.9,327876.253600402,4688999.31250604,19,T,1103,876.253600402211,499.312506043352
1663962211.34683,0,71011,0,GPS1_Frame,42.334215,-71.0892616666667,21,327877.063840115,4688998.73705315,19,T,1104,877.063840114977,498.737053152174
1663962212.37754,0,71012,0,GPS1_Frame,42.3342083333333,-71.0892533333333,21,327877.732219754,4688997.97990333,19,T,1105,877.732219753903,497.979903325439
1663962213.33681,0,71013,0,GPS1_Frame,42.3342,-71.089245,20.9,327878.396052738,4688997.03768302,19,T,1106,878.396052738186,497.037683018483
1663962214.34143,0,71014,0,GPS1_Frame,42.3341933333333,-71.0892366666667,21.1,327879.06443269,4688996.28053333,19,T,1107,879.064432690327,496.280533329584
1663962215.37989,0,71015,0,GPS1_Frame,42.3341833333333,-71.0892283333333,21.1,327879.723719268,4688995.15324261,19,T,1108,879.72371926764,495.153242611326
1663962216.37705,0,71016,0,GPS1_Frame,42.334175,-71.0892183333333,21.2,327880.524866275,4688994.20764905,19,T,1109,880.524866275373,494.207649048418
1663962217.34723,0,71017,0,GPS1_Frame,42.3341666666667,-71.0892083333333,21.2,327881.326013506,4688993.26205559,19,T,1110,881.326013506216,493.262055585161
1663962218.34716,0,71018,0,GPS1_Frame,42.33416,-71.0892,21.4,327881.994394147,4688992.5049062,19,T,1111,881.994394146954,492.504906201735
1663962219.34516,0,71019,0,GPS1_Frame,42.33415,-71.0891916666667,21.4,327882.653681585,4688991.37761579,19,T,1112,882.65368158475,491.377615787089
1663962220.37533,0,71020,0,GPS1_Frame,42.3341383333333,-71.0891833333333,21.6,327883.308422585,4688990.0652549,19,T,1113,883.308422585251,490.065254897811
1663962221.34698,0,71021,0,GPS1_Frame,42.3341283333333,-71.0891733333333,21.7,327884.105024054,4688988.93459124,19,T,1114,884.105024053599,488.934591234662
1663962222.38186,0,71022,0,GPS1_Frame,42.3341166666667,-71.089165,21.8,327884.759765582,4688987.6222305,19,T,1115,884.759765582217,487.62223049812
1663962223.34589,0,71023,0,GPS1_Frame,42.334105,-71.0891566666667,21.9,327885.414507372,4688986.30986983,19,T,1116,885.414507371839,486.309869834222
1663962224.38313,0,71024,0,GPS1_Frame,42.3340966666667,-71.08915,22.1,327885.941028939,4688985.37102368,19,T,1117,885.941028939094,485.371023681946
1663962225.38429,0,71025,0,GPS1_Frame,42.3340866666667,-71.08914,22.1,327886.73763141,4688984.24036035,19,T,1118,886.737631410128,484.240360353142
1663962226.34585,0,71026,0,GPS1_Frame,42.3340783333333,-71.0891283333333,22.3,327887.67609436,4688983.29139436,19,T,1119,887.676094360475,483.291394358501
1663962227.38218,0,71027,0,GPS1_Frame,42.3340716666667,-71.08912,22.6,327888.34447669,4688982.53424564,19,T,1120,888.344476690283,482.534245638177
1663962228.34885,0,71028,0,GPS1_Frame,42.334065,-71.08911,22.6,327889.150172873,4688981.7737237,19,T,1121,889.150172872993,481.773723701015
1663962229.34961,0,71029,0,GPS1_Frame,42.33406,-71.0890933333333,22.8,327890.509670573,4688981.18477936,19,T,1122,890.509670572705,481.184779356234
1663962230.35039,0,71030,0,GPS1_Frame,42.334055,-71.0890766666667,22.7,327891.869168486,4688980.59583528,19,T,1123,891.869168486097,480.595835280605
1663962231.34421,0,71031,0,GPS1_Frame,42.3340483333333,-71.0890633333333,22.6,327892.949492755,4688979.82856734,19,T,1124,892.949492755113,479.828567344695
1663962232.34523,0,71032,0,GPS1_Frame,42.33404,-71.0890516666667,22.5,327893.887957137,4688978.87960223,19,T,1125,893.887957137427,478.879602228291
1663962233.34398,0,71033,0,GPS1_Frame,42.3340333333333,-71.08904,22.4,327894.830968111,4688978.11570779,19,T,1126,894.830968111171,478.115707789548
